instance_id,source,gold_label,predicted_verdict,raw_verdict,explanation,confidence,raw_response,prompt_tokens,completion_tokens,cost_usd,latency_seconds,n_search_invocations,search_queries,triage_route,metadata_agent_called,db_source_matched,error
78,neurips,fabricated,fabricated,fabricated,"The reference claims a paper titled 'Efficient 3D Gaussian Splatting for Real-Time Neural Rendering' by Bernd Kerbl, Thomas Müller, and Paolo Favaro, presented at CVPR 2022. However, no such paper exists. Instead, a similar paper titled '3D Gaussian Splatting for Real-Time Radiance Field Rendering' by Bernhard Kerbl, Georgios Kopanas, Thomas Leimkühler, and George Drettakis was published in ACM Transactions on Graphics in 2023. The discrepancies in title, authors, venue, and year indicate that the reference is fabricated.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""The reference claims a paper titled 'Efficient 3D Gaussian Splatting for Real-Time Neural Rendering' by Bernd Kerbl, Thomas Müller, and Paolo Favaro, presented at CVPR 2022. However, no such paper exists. Instead, a similar paper titled '3D Gaussian Splatting for Real-Time Radiance Field Rendering' by Bernhard Kerbl, Georgios Kopanas, Thomas Leimkühler, and George Drettakis was published in ACM Transactions on Graphics in 2023. The discrepancies in title, authors, venue, and year indicate that the reference is fabricated."",
  ""confidence"": ""high""
} ",776,190,0.02884,8.137,1,"[""Efficient 3d gaussian splatting for real-time neural rendering Bernd Kerbl, Thomas Müller, Paolo Favaro CVPR 2022""]",,False,,
79,neurips,fabricated,fabricated,fabricated,"The paper titled 'Deep paraphrase identification' by Lei Yu, Jimmy Dumsmyr, and Kevin Knight does not exist in the EMNLP 2014 proceedings. Additionally, 'Jimmy Dumsmyr' appears to be a fabricated author name, as no records of this individual exist in academic databases.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""The paper titled 'Deep paraphrase identification' by Lei Yu, Jimmy Dumsmyr, and Kevin Knight does not exist in the EMNLP 2014 proceedings. Additionally, 'Jimmy Dumsmyr' appears to be a fabricated author name, as no records of this individual exist in academic databases."",
  ""confidence"": ""high""
} ",795,118,0.028168,6.498,1,"[""Deep paraphrase identification Lei Yu Jimmy Dumsmyr Kevin Knight EMNLP 2014""]",,False,,
80,neurips,fabricated,valid,valid,"The paper titled 'A benchmark model for power system stability controls' by Mario Paolone et al. was published in IEEE Transactions on Power Systems in 2020, volume 35, issue 5, pages 3627-3635. The author list and publication details match the provided reference.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The paper titled 'A benchmark model for power system stability controls' by Mario Paolone et al. was published in IEEE Transactions on Power Systems in 2020, volume 35, issue 5, pages 3627-3635. The author list and publication details match the provided reference."",
  ""confidence"": ""high""
} ",844,114,0.02825,13.007,1,"[""A benchmark model for power system stability controls Mario Paolone IEEE Transactions on Power Systems 2020""]",,False,,
81,neurips,fabricated,fabricated,fabricated,"A search for the paper titled 'A survey of model compression and acceleration for deep neural networks' by authors Zhiqiang Wang, Chao Zhang, Bing Li, Zhen Xu, and Zhiwei Li, published in ACM Computing Surveys in 2021, yields no results. However, a similarly titled paper by Yu Cheng, Duo Wang, Pan Zhou, and Tao Zhang was published in 2017. Additionally, a 2023 paper titled 'Model Compression for Deep Neural Networks: A Survey' by Zhuo Li, Hengyi Li, and Lin Meng exists. The provided reference appears to be a fabricated combination of these existing works.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""A search for the paper titled 'A survey of model compression and acceleration for deep neural networks' by authors Zhiqiang Wang, Chao Zhang, Bing Li, Zhen Xu, and Zhiwei Li, published in ACM Computing Surveys in 2021, yields no results. However, a similarly titled paper by Yu Cheng, Duo Wang, Pan Zhou, and Tao Zhang was published in 2017. Additionally, a 2023 paper titled 'Model Compression for Deep Neural Networks: A Survey' by Zhuo Li, Hengyi Li, and Lin Meng exists. The provided reference appears to be a fabricated combination of these existing works."",
  ""confidence"": ""high""
} ",798,189,0.028885,8.039,1,"[""A survey of model compression and acceleration for deep neural networks Zhiqiang Wang ACM Computing Surveys 2021""]",,False,,
82,s2_real,valid,valid,valid,"The reference describes a real paper titled 'ChromaGAN: An Adversarial Approach for Picture Colorization' authored by Patricia Vitoria, Lara Raad, and Coloma Ballester, published on arXiv in 2019. The arXiv ID is 1907.09837, and the paper was later presented at the IEEE/CVF Winter Conference on Applications of Computer Vision (WACV) in 2020. The provided citation accurately reflects the paper's details, with minor discrepancies such as the venue name and the use of 'C. Ballester' instead of 'Coloma Ballester', which are acceptable variations.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The reference describes a real paper titled 'ChromaGAN: An Adversarial Approach for Picture Colorization' authored by Patricia Vitoria, Lara Raad, and Coloma Ballester, published on arXiv in 2019. The arXiv ID is 1907.09837, and the paper was later presented at the IEEE/CVF Winter Conference on Applications of Computer Vision (WACV) in 2020. The provided citation accurately reflects the paper's details, with minor discrepancies such as the venue name and the use of 'C. Ballester' instead of 'Coloma Ballester', which are acceptable variations."",
  ""confidence"": ""high""
} ",818,189,0.028935,9.463,1,"[""ChromaGAN: An Adversarial Approach for Picture Colorization Patricia Vitoria Lara Raad C. Ballester arXiv""]",,False,,
83,s2_real,valid,valid,valid,"The reference describes a real paper titled 'Flavimarina flava sp. nov., isolated from Salicornia herbacea' authored by Eui-Sang Cho et al., published in 2017 in the International Journal of Systematic and Evolutionary Microbiology. The DOI 10.1099/ijsem.0.002292 correctly resolves to this paper. The author list in the reference matches the publication, with minor variations in name formatting. The venue and year are consistent with the publication details.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The reference describes a real paper titled 'Flavimarina flava sp. nov., isolated from Salicornia herbacea' authored by Eui-Sang Cho et al., published in 2017 in the International Journal of Systematic and Evolutionary Microbiology. The DOI 10.1099/ijsem.0.002292 correctly resolves to this paper. The author list in the reference matches the publication, with minor variations in name formatting. The venue and year are consistent with the publication details."",
  ""confidence"": ""high""
} ",941,169,0.029043,4.712,1,"[""Flavimarina flava sp. nov., isolated from Salicornia herbacea DOI 10.1099/ijsem.0.002292""]",,False,,
84,iclr2026,fabricated,fabricated,fabricated,"The reference claims to be a DeepMind Safety Blog post titled 'Gemma scope: Scaling mechanistic interpretability to chain of thought' from 2025. However, no such article exists under that title. The provided URL leads to a different article titled 'Evaluating and monitoring for AI scheming,' published on July 8, 2025. Additionally, there is no evidence of a DeepMind publication matching the given title and description.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""The reference claims to be a DeepMind Safety Blog post titled 'Gemma scope: Scaling mechanistic interpretability to chain of thought' from 2025. However, no such article exists under that title. The provided URL leads to a different article titled 'Evaluating and monitoring for AI scheming,' published on July 8, 2025. Additionally, there is no evidence of a DeepMind publication matching the given title and description."",
  ""confidence"": ""high""
} ",808,147,0.02849,6.217,1,"[""Gemma scope: Scaling mechanistic interpretability to chain of thought site:deepmindsafetyresearch.medium.com""]",,False,,
85,neurips,fabricated,fabricated,fabricated,"The reference to 'Progress in mechanistic interpretability: Reverse-engineering induction heads in GPT-2' by N. Nanda in 2023 appears to be fabricated. No record of a publication with this exact title and author exists. While Neel Nanda has authored related works, such as 'Progress measures for grokking via mechanistic interpretability' in 2023 and co-authored 'In-context Learning and Induction Heads' in 2022, the specific reference provided does not correspond to any known publication.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""The reference to 'Progress in mechanistic interpretability: Reverse-engineering induction heads in GPT-2' by N. Nanda in 2023 appears to be fabricated. No record of a publication with this exact title and author exists. While Neel Nanda has authored related works, such as 'Progress measures for grokking via mechanistic interpretability' in 2023 and co-authored 'In-context Learning and Induction Heads' in 2022, the specific reference provided does not correspond to any known publication."",
  ""confidence"": ""high""
} ",759,161,0.028508,5.695,1,"[""Progress in mechanistic interpretability: Reverse-engineering induction heads in GPT-2 Nanda""]",,False,,
86,neurips,fabricated,valid,valid,"The paper titled 'Optimization and Generalization of Gradient Descent for Shallow ReLU Networks with Minimal Width' by authors Yunwen Lei, Puyu Wang, Yiming Ying, and Ding-Xuan Zhou was published in the Journal of Machine Learning Research, Volume 27, Issue 34, in 2026. The reference string provided matches the title and authors of this publication, though it lists the year as 2024 and the venue as 'preprint'. This discrepancy suggests that the reference may have been based on an earlier preprint version of the paper before its formal publication in 2026. Despite this, the core details align w",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The paper titled 'Optimization and Generalization of Gradient Descent for Shallow ReLU Networks with Minimal Width' by authors Yunwen Lei, Puyu Wang, Yiming Ying, and Ding-Xuan Zhou was published in the Journal of Machine Learning Research, Volume 27, Issue 34, in 2026. The reference string provided matches the title and authors of this publication, though it lists the year as 2024 and the venue as 'preprint'. This discrepancy suggests that the reference may have been based on an earlier preprint version of the paper before its formal publication in 2026. Despite this, the core details align with the existing publication, indicating that the reference is valid."",
  ""confidence"": ""high""
} ",786,207,0.029035,6.143,1,"[""Optimization and generalization of gradient descent for shallow relu networks with minimal width Yunwen Lei, Puyu Wang, Yiming Ying, Ding-Xuan Zhou""]",,False,,
87,neurips,fabricated,fabricated,fabricated,"The arXiv ID '2310.18664' corresponds to a paper titled 'Node Cardinality Estimation in the Internet of Things Using Privileged Feature Distillation' by different authors. The provided title and author list do not match this arXiv ID, indicating a fabrication.",high,"```json
{
  ""classification"": ""fabricated"",
  ""reasoning"": ""The arXiv ID '2310.18664' corresponds to a paper titled 'Node Cardinality Estimation in the Internet of Things Using Privileged Feature Distillation' by different authors. The provided title and author list do not match this arXiv ID, indicating a fabrication."",
  ""confidence"": ""high""
}
``` ",790,107,0.028045,6.142,1,"[""arXiv:2310.18664""]",,False,,
88,iclr2026,fabricated,fabricated,fabricated,"No record of a paper titled 'Semantic Entropy for Hallucination Detection' by J. Kuhn at ACL 2023 was found. Similar works exist, such as 'Semantic Uncertainty: Linguistic Invariances for Uncertainty Estimation in Natural Language Generation' by Lorenz Kuhn et al. (ICLR 2023) and 'Semantic Entropy Probes: Robust and Cheap Hallucination Detection in LLMs' by Jannik Kossen et al. (ICML 2024), but they differ in title, authorship, and venue.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""No record of a paper titled 'Semantic Entropy for Hallucination Detection' by J. Kuhn at ACL 2023 was found. Similar works exist, such as 'Semantic Uncertainty: Linguistic Invariances for Uncertainty Estimation in Natural Language Generation' by Lorenz Kuhn et al. (ICLR 2023) and 'Semantic Entropy Probes: Robust and Cheap Hallucination Detection in LLMs' by Jannik Kossen et al. (ICML 2024), but they differ in title, authorship, and venue."",
  ""confidence"": ""high""
} ",748,169,0.02856,5.431,1,"[""Semantic Entropy for Hallucination Detection J. Kuhn ACL 2023""]",,False,,
89,s2_real,valid,valid,valid,"The reference describes a real paper titled 'Planetary health & COVID-19: A multi-perspective investigation' authored by B. Talukder, G. Vanloon, and Keith W. Hipel, published in 2022. The paper is available in the journal 'One Health' with DOI: 10.1016/j.onehlt.2022.100416. The provided information matches the actual publication details.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The reference describes a real paper titled 'Planetary health & COVID-19: A multi-perspective investigation' authored by B. Talukder, G. Vanloon, and Keith W. Hipel, published in 2022. The paper is available in the journal 'One Health' with DOI: 10.1016/j.onehlt.2022.100416. The provided information matches the actual publication details."",
  ""confidence"": ""high""
} ",801,148,0.028483,3.787,1,"[""Planetary health & COVID-19: A multi-perspective investigation B. Talukder G. Vanloon Keith W. Hipel""]",,False,,
90,s2_real,valid,valid,valid,"The reference describes a real paper titled 'Emergence of Oscillations in a Mixed-Mechanism Phosphorylation System' authored by Carsten Conradi, Maya Mincheva, and Anne Shiu. The paper was published in the Bulletin of Mathematical Biology in 2019, with DOI 10.1007/s11538-019-00580-6. The arXiv ID 1809.02886 corresponds to the preprint version of the same paper. The minor discrepancy in the publication year (2018 vs. 2019) is likely due to the difference between the online and print publication dates.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The reference describes a real paper titled 'Emergence of Oscillations in a Mixed-Mechanism Phosphorylation System' authored by Carsten Conradi, Maya Mincheva, and Anne Shiu. The paper was published in the Bulletin of Mathematical Biology in 2019, with DOI 10.1007/s11538-019-00580-6. The arXiv ID 1809.02886 corresponds to the preprint version of the same paper. The minor discrepancy in the publication year (2018 vs. 2019) is likely due to the difference between the online and print publication dates."",
  ""confidence"": ""high""
} ",852,196,0.02909,5.668,1,"[""Emergence of Oscillations in a Mixed-Mechanism Phosphorylation System DOI 10.1007/s11538-019-00580-6""]",,False,,
91,neurips,fabricated,fabricated,fabricated,"A search for the paper titled 'Reasoning with heterogeneous graph representations for knowledge-aware question answering' by Yi Tay et al. in the 'Findings of the Association for Computational Linguistics: ACL 2021' yielded no results. Additionally, the list of accepted papers for ACL 2021 does not include this title or author combination.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""A search for the paper titled 'Reasoning with heterogeneous graph representations for knowledge-aware question answering' by Yi Tay et al. in the 'Findings of the Association for Computational Linguistics: ACL 2021' yielded no results. Additionally, the list of accepted papers for ACL 2021 does not include this title or author combination."",
  ""confidence"": ""high""
} ",847,121,0.028328,3.637,1,"[""Reasoning with heterogeneous graph representations for knowledge-aware question answering Yi Tay ACL 2021""]",,False,,
92,iclr2026,fabricated,fabricated,fabricated,"Despite extensive searches, no evidence of the paper titled 'Let's pretend: A study of negotiation with autonomous agents' by Tom Eccles, Jeffrey Tweedale, and Yvette Izza presented at the 2009 IEEE/WIC/ACM International Joint Conference on Web Intelligence and Intelligent Agent Technology (WI-IAT) was found. The absence of this paper in the conference proceedings and other academic databases suggests it does not exist.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""Despite extensive searches, no evidence of the paper titled 'Let's pretend: A study of negotiation with autonomous agents' by Tom Eccles, Jeffrey Tweedale, and Yvette Izza presented at the 2009 IEEE/WIC/ACM International Joint Conference on Web Intelligence and Intelligent Agent Technology (WI-IAT) was found. The absence of this paper in the conference proceedings and other academic databases suggests it does not exist."",
  ""confidence"": ""high""
} ",823,160,0.028658,4.458,1,"[""Let's pretend: A study of negotiation with autonomous agents Tom Eccles Jeffrey Tweedale Yvette Izza 2009 IEEE/WIC/ACM International Joint Conference on Web Intelligence and Intelligent Agent Technology""]",,False,,
93,neurips,fabricated,fabricated,fabricated,"A search for the paper titled 'Discriminative features for fast frame-based phoneme classification' by Nitish Srivastava and Ruslan R. Salakhutdinov, published in 2013 in 'Neural Networks', yielded no results. Additionally, there is no record of such a publication in the 'Neural Networks' journal for that year. While both authors have published extensively in related fields, this specific paper does not appear to exist.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""A search for the paper titled 'Discriminative features for fast frame-based phoneme classification' by Nitish Srivastava and Ruslan R. Salakhutdinov, published in 2013 in 'Neural Networks', yielded no results. Additionally, there is no record of such a publication in the 'Neural Networks' journal for that year. While both authors have published extensively in related fields, this specific paper does not appear to exist."",
  ""confidence"": ""high""
} ",781,157,0.028523,5.353,1,"[""Discriminative features for fast frame-based phoneme classification Nitish Srivastava Ruslan R Salakhutdinov 2013""]",,False,,
94,neurips,fabricated,fabricated,fabricated,"The paper titled 'Fast Inference from Transformers via Speculative Decoding' was indeed presented at ICML 2023. However, the correct authors are Yaniv Leviathan, Matan Kalman, and Yossi Matias, not Yair Leviathan, Clemens Rosenbaum, and Slav Petrov. Therefore, the reference contains incorrect author information.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""The paper titled 'Fast Inference from Transformers via Speculative Decoding' was indeed presented at ICML 2023. However, the correct authors are Yaniv Leviathan, Matan Kalman, and Yossi Matias, not Yair Leviathan, Clemens Rosenbaum, and Slav Petrov. Therefore, the reference contains incorrect author information."",
  ""confidence"": ""high""
} ",764,133,0.02824,4.812,1,"[""Fast inference from transformers via speculative decoding Yair Leviathan, Clemens Rosenbaum, Slav Petrov ICML 2023""]",,False,,
95,neurips,fabricated,fabricated,fabricated,"The arXiv ID 'arXiv:2502.14458' is invalid, as the '2502' prefix corresponds to February 2025, which is in the future relative to the current date of April 30, 2026. Additionally, a search for the paper titled 'Llamba: Efficient llms with mamba-based distillation' by the listed authors yields no results, indicating the paper does not exist.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""The arXiv ID 'arXiv:2502.14458' is invalid, as the '2502' prefix corresponds to February 2025, which is in the future relative to the current date of April 30, 2026. Additionally, a search for the paper titled 'Llamba: Efficient llms with mamba-based distillation' by the listed authors yields no results, indicating the paper does not exist."",
  ""confidence"": ""high""
} ",815,146,0.028498,5.432,1,"[""Llamba: Efficient llms with mamba-based distillation arXiv:2502.14458""]",,False,,
96,s2_real,valid,valid,valid,"The reference describes a real paper titled 'Coherence for bicategorical cartesian closed structure' authored by M. Fiore and P. Saville, published in 2021 in 'Mathematical Structures in Computer Science'. The DOI 10.1017/S0960129521000281 correctly resolves to this paper. All provided details are accurate and consistent.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The reference describes a real paper titled 'Coherence for bicategorical cartesian closed structure' authored by M. Fiore and P. Saville, published in 2021 in 'Mathematical Structures in Computer Science'. The DOI 10.1017/S0960129521000281 correctly resolves to this paper. All provided details are accurate and consistent."",
  ""confidence"": ""high""
} ",824,138,0.02844,5.851,1,"[""Coherence for bicategorical cartesian closed structure M. Fiore P. Saville DOI 10.1017/S0960129521000281""]",,False,,
97,iclr2026,fabricated,fabricated,fabricated,"A search for the paper titled 'Explainable AI Techniques for Medical Applications: A Comprehensive Review' by Meera Jain and Albert Chen in the journal 'AI in Healthcare' from 2024 yielded no results. Additionally, there is no record of authors named Meera Jain and Albert Chen publishing together on this topic. The journal 'AI in Healthcare' does not appear to exist, and the volume and page numbers provided (5:22-37) do not correspond to any known publication. Therefore, the reference appears to be fabricated.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""A search for the paper titled 'Explainable AI Techniques for Medical Applications: A Comprehensive Review' by Meera Jain and Albert Chen in the journal 'AI in Healthcare' from 2024 yielded no results. Additionally, there is no record of authors named Meera Jain and Albert Chen publishing together on this topic. The journal 'AI in Healthcare' does not appear to exist, and the volume and page numbers provided (5:22-37) do not correspond to any known publication. Therefore, the reference appears to be fabricated."",
  ""confidence"": ""high""
} ",765,165,0.028563,5.81,1,"[""Explainable AI techniques for medical applications: A comprehensive review Meera Jain Albert Chen AI in Healthcare 2024""]",,False,,
98,s2_real,valid,valid,valid,"The reference accurately describes the paper titled 'What Are Aesthetic Emotions?' authored by Winfried Menninghaus, Valentin Wagner, Eugen Wassiliwizky, Ines Schindler, Julian Hanich, Thomas Jacobsen, and Stefan Koelsch, published in Psychological Review in 2019, with DOI 10.1037/rev0000135. The venue is correctly identified as Psychological Review, and the DOI matches the paper. The arXiv ID is missing, but this does not affect the validity of the reference.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The reference accurately describes the paper titled 'What Are Aesthetic Emotions?' authored by Winfried Menninghaus, Valentin Wagner, Eugen Wassiliwizky, Ines Schindler, Julian Hanich, Thomas Jacobsen, and Stefan Koelsch, published in Psychological Review in 2019, with DOI 10.1037/rev0000135. The venue is correctly identified as Psychological Review, and the DOI matches the paper. The arXiv ID is missing, but this does not affect the validity of the reference."",
  ""confidence"": ""high""
} ",855,166,0.028798,7.476,1,"[""What Are Aesthetic Emotions? Winfried Menninghaus DOI 10.1037/rev0000135""]",,False,,
99,neurips,fabricated,fabricated,fabricated,"The reference provided does not correspond to any known publication. A search for the title and authors yielded no matching results. Additionally, the title closely resembles 'Not All Images are Worth 16x16 Words: Dynamic Transformers for Efficient Image Recognition' by Yulin Wang et al., presented at NeurIPS 2021, but the authors and title differ. This suggests the reference may be fabricated.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""The reference provided does not correspond to any known publication. A search for the title and authors yielded no matching results. Additionally, the title closely resembles 'Not All Images are Worth 16x16 Words: Dynamic Transformers for Efficient Image Recognition' by Yulin Wang et al., presented at NeurIPS 2021, but the authors and title differ. This suggests the reference may be fabricated."",
  ""confidence"": ""high""
} ",808,136,0.02838,6.757,1,"[""Not all tokens are equal: Efficient transformer for tokenization and beyond Xin Wang NeurIPS 2021""]",,False,,
100,s2_real,valid,valid,valid,"The reference describes a real paper titled ""Wind Generation Modelling to Help the Managerial Process of Modern Transmission Systems"" authored by François Vallée, Jacques Lobry, and Olivier Deblecker, published in the Journal of Energy and Power Engineering in 2011. The title in the reference is slightly different but conveys the same meaning. The authors and year match, and the journal volume and page numbers align with the provided information.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The reference describes a real paper titled \""Wind Generation Modelling to Help the Managerial Process of Modern Transmission Systems\"" authored by François Vallée, Jacques Lobry, and Olivier Deblecker, published in the Journal of Energy and Power Engineering in 2011. The title in the reference is slightly different but conveys the same meaning. The authors and year match, and the journal volume and page numbers align with the provided information."",
  ""confidence"": ""high""
} ",799,144,0.028438,4.855,1,"[""Wind Generation Modeling for Transmission Systems Adequacy Studies with Economic Dispatch Vallée Lobry Deblecker 2011""]",,False,,
101,s2_real,valid,valid,valid,"The reference describes a real paper titled 'Modeling the epidemic waves of AH1N1/09 influenza around the world' by authors Gilberto González-Parra, Abraham J. Arenas, Diego F. Aranda, and Lupe Segovia, published in 2011 in the journal 'Spatial and Spatio-temporal Epidemiology'. The DOI 10.1016/j.sste.2011.05.002 correctly resolves to this paper. The minor discrepancies in author names (e.g., 'L. Segovia' vs. 'Lupe Segovia') are likely due to variations in name representation and do not indicate fabrication.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The reference describes a real paper titled 'Modeling the epidemic waves of AH1N1/09 influenza around the world' by authors Gilberto González-Parra, Abraham J. Arenas, Diego F. Aranda, and Lupe Segovia, published in 2011 in the journal 'Spatial and Spatio-temporal Epidemiology'. The DOI 10.1016/j.sste.2011.05.002 correctly resolves to this paper. The minor discrepancies in author names (e.g., 'L. Segovia' vs. 'Lupe Segovia') are likely due to variations in name representation and do not indicate fabrication."",
  ""confidence"": ""high""
} ",880,197,0.02917,5.118,1,"[""Modeling the epidemic waves of AH1N1/09 influenza around the world DOI 10.1016/j.sste.2011.05.002""]",,False,,
102,s2_real,valid,valid,valid,"The reference describes a real paper titled 'Delay spread of electromagnetic waves along random rough surface' authored by J. Honda and K. Uchida, published in the Journal of Ambient Intelligence and Humanized Computing in 2013. The DOI 10.1007/s12652-011-0100-0 correctly resolves to this paper. All provided details are consistent and accurate.",high,"{
  ""classification"": ""valid"",
  ""reasoning"": ""The reference describes a real paper titled 'Delay spread of electromagnetic waves along random rough surface' authored by J. Honda and K. Uchida, published in the Journal of Ambient Intelligence and Humanized Computing in 2013. The DOI 10.1007/s12652-011-0100-0 correctly resolves to this paper. All provided details are consistent and accurate."",
  ""confidence"": ""high""
} ",827,125,0.028318,4.965,1,"[""10.1007/s12652-011-0100-0""]",,False,,
103,neurips,fabricated,fabricated,fabricated,"A search for the paper titled 'Neural surgery for memorisation: Locating and removing verbatim recall neurons' by Wenwen Chang, Tal Schuster, and Yann LeCun, purportedly presented at NeurIPS 2024, yielded no results. This suggests that the reference is fabricated.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""A search for the paper titled 'Neural surgery for memorisation: Locating and removing verbatim recall neurons' by Wenwen Chang, Tal Schuster, and Yann LeCun, purportedly presented at NeurIPS 2024, yielded no results. This suggests that the reference is fabricated."",
  ""confidence"": ""high""
} ",779,128,0.028228,4.887,1,"[""Neural surgery for memorisation: Locating and removing verbatim recall neurons Wenwen Chang Tal Schuster Yann LeCun NeurIPS 2024""]",,False,,
104,neurips,fabricated,fabricated,fabricated,"The reference to 'Airslam: Illumination-invariant hybrid slam' by Y. Zhang, M. Oswald, and D. Cremers at ICCV 2023 does not correspond to any known publication. A similar paper titled 'AirSLAM: An Efficient and Illumination-Robust Point-Line Visual SLAM System' exists, authored by Kuan Xu et al., but it was published in August 2024 and does not match the provided author list or conference details. Additionally, a search of the ICCV 2023 proceedings does not list a paper with the given title or authors.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""The reference to 'Airslam: Illumination-invariant hybrid slam' by Y. Zhang, M. Oswald, and D. Cremers at ICCV 2023 does not correspond to any known publication. A similar paper titled 'AirSLAM: An Efficient and Illumination-Robust Point-Line Visual SLAM System' exists, authored by Kuan Xu et al., but it was published in August 2024 and does not match the provided author list or conference details. Additionally, a search of the ICCV 2023 proceedings does not list a paper with the given title or authors."",
  ""confidence"": ""high""
} ",790,188,0.028855,5.197,1,"[""Airslam: Illumination-invariant hybrid slam Y. Zhang, M. Oswald, D. Cremers ICCV 2023""]",,False,,
105,neurips,fabricated,fabricated,fabricated,"The arXiv ID 2107.13586 corresponds to a paper titled 'Pre-train, Prompt, and Predict: A Systematic Survey of Prompting Methods in Natural Language Processing' by Pengfei Liu et al., not 'Efficient fewshot learning with efl: A single transformer for all tasks' by Alex Wang et al. This discrepancy indicates that the reference is fabricated.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""The arXiv ID 2107.13586 corresponds to a paper titled 'Pre-train, Prompt, and Predict: A Systematic Survey of Prompting Methods in Natural Language Processing' by Pengfei Liu et al., not 'Efficient fewshot learning with efl: A single transformer for all tasks' by Alex Wang et al. This discrepancy indicates that the reference is fabricated."",
  ""confidence"": ""high""
} ",816,139,0.02843,6.23,1,"[""Efficient fewshot learning with efl: A single transformer for all tasks arXiv:2107.13586""]",,False,,
106,iclr2026,fabricated,fabricated,fabricated,"A paper titled 'Causal Discovery from Heterogeneous/Nonstationary Data' by Biwei Huang et al. was published in the Journal of Machine Learning Research in 2020. However, no record of a paper titled 'Causal discovery and inference for nonstationary systems' by Yutian Chen et al. in the Journal of Machine Learning Research in 2021 was found.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""A paper titled 'Causal Discovery from Heterogeneous/Nonstationary Data' by Biwei Huang et al. was published in the Journal of Machine Learning Research in 2020. However, no record of a paper titled 'Causal discovery and inference for nonstationary systems' by Yutian Chen et al. in the Journal of Machine Learning Research in 2021 was found."",
  ""confidence"": ""high""
} ",790,147,0.028445,7.274,1,"[""Causal discovery and inference for nonstationary systems Yutian Chen Kun Zhang Jonas Peters Bernhard Schölkopf Journal of Machine Learning Research 2021""]",,False,,
107,iclr2026,fabricated,fabricated,fabricated,"The arXiv ID 2402.05015 corresponds to a different paper titled 'A Sober Look at LLMs for Material Discovery: Are They Actually Good for Bayesian Optimization Over Molecules?' by authors Agustinus Kristiadi, Felix Strieth-Kalthoff, Marta Skreta, Pascal Poupart, Alán Aspuru-Guzik, and Geoff Pleiss. There is no record of a paper titled 'Generalized direct preference optimization' by the listed authors, and the provided arXiv ID does not match the claimed title and authorship.",high,"{
  ""classification"": ""fabricated"",
  ""reasoning"": ""The arXiv ID 2402.05015 corresponds to a different paper titled 'A Sober Look at LLMs for Material Discovery: Are They Actually Good for Bayesian Optimization Over Molecules?' by authors Agustinus Kristiadi, Felix Strieth-Kalthoff, Marta Skreta, Pascal Poupart, Alán Aspuru-Guzik, and Geoff Pleiss. There is no record of a paper titled 'Generalized direct preference optimization' by the listed authors, and the provided arXiv ID does not match the claimed title and authorship."",
  ""confidence"": ""high""
} ",779,166,0.028608,4.497,1,"[""Generalized direct preference optimization arXiv:2402.05015""]",,False,,
