id,source_paper_title,year,citation_excerpt,target_paper_title,target_paper_year
79,Decreased B4GALT1 promotes hepatocellular carcinoma cell invasiveness by regulating the laminin-integrin pathway,2023,"""Several lines of evidence indicate that high B4GALT1 expression is associated with poor survival of patients and promotes malignant behaviors in several cancer types, such as lung cancer [CITATION]""",B4GALT1 Is a New Candidate to Maintain the Stemness of Lung Cancer Stem Cells,2019
80,"Nuclear ERK: Mechanism of Translocation, Substrates, and Role in Cancer",2019,"""Moreover, the peptide even inhibited the growth of PLX4032 (RAF inhibitor)- and U0126 (MEK inhibitor)-resistant melanoma cells. In a later study, we demonstrated that the EPE peptide also inhibited proliferation of several NRAS and NF1 mutant melanomas [CITATION]""",Combined inhibition of MEK and nuclear ERK translocation has synergistic antitumor activity in melanoma cells,2017
81,Immune escape and metastasis mechanisms in melanoma: breaking down the dichotomy,2024,"""The HIF-1α inhibitor, IDF-11774, achieved similar results in a nude mouse B16-F10 model, diminishing tumor growth and increasing CD8+ T cell infiltration. Additionally, IDF-11774 reduced expression of the EMT markers SNAIL and N-cadherin [CITATION]""","Anti-Tumor Effect of IDF-11774, an Inhibitor of Hypoxia-Inducible Factor-1, on Melanoma",2022
82,Machine Learning Methods in Drug Discovery,2020,"""Through further analysis using supervised learning techniques, the researchers were able to identify invasion-specific genes related to aggressive melanoma [CITATION]""",Comprehensive Expression Profiling of Tumor Cell Lines Identifies Molecular Signatures of Melanoma Progression,2007
83,Tumor Cell Resistance to the Inhibition of BRAF and MEK1/2,2023,"""IGF1R/Insulin Receptor (IR) expression increased in D/T combination-resistant melanoma cells in correlation with poor patient survival. Moreover, treatment with the IGF1R/IR inhibitor BMS-754807 reduced phosphorylation of AKT but not ERK1/2 [CITATION]""",IGF1R/IR Mediates Resistance to BRAF and MEK Inhibitors in BRAF-Mutant Melanoma,2021
84,Relationship between 4-Hydroxynonenal (4-HNE) as Systemic Biomarker of Lipid Peroxidation and Metabolomic Profiling of Patients with Prostate Cancer,2022,"""mannose has an inhibitory effect on the proliferation and an apoptosis-promoting effect on prostate cancer cells in vitro [CITATION]. The same trend was observed in mice."" ",Mannose inhibits the growth of prostate cancer through a mitochondrial mechanism,2022
85,Cancer-associated fibroblasts: A key target to snatch victory from defeat in therapy resistance associated with the pancreatic cancer stroma,2023,"""[CITATION] reported that enhanced expression of PLA2G2A was found in PC tissues, which was associated with poor survival of PC patients, whereas decreasing PLA2G2A expression via siRNA or pharmacological inhibition significantly restricts PC cell proliferation""",PLA2G2A Phospholipase Promotes Fatty Acid Synthesis and Energy Metabolism in Pancreatic Cancer Cells with K-ras Mutation,2022
86,Knocking down NSUN5 inhibits the development of clear cell renal cell carcinoma by inhibiting the p53 pathway,2023,"""[CITATION] showed that crizotinib altered the metabolic modes of A549 non-small cell lung cancer cells and inhibited ATP production.""",Crizotinib changes the metabolic pattern and inhibits ATP production in A549 non-small cell lung cancer cells,2021
87,Cancer Energy Metabolism: Shutting Power off Cancer Factory,2017,"""The first study was based upon omics data analysis using NSCLC related metabolic enzyme profiling, which suggests close association of ALDH in NSCLC [CITATION]""",Aldehyde dehydrogenase is used by cancer cells for energy metabolism,2016
88,Metabolomics for Investigating Physiological and Pathophysiological Processes,2019,"""triple negative breast cancer, depend more on glutaminolysis [CITATION]""",Metabolic characterization of triple negative breast cancer,2014
89,"Transcending frontiers in prostate cancer: the role of oncometabolites on epigenetic regulation, CSCs, and tumor microenvironment to identify new therapeutic strategies",2024,"""Increased levels of urea cycle intermediates, including arginine-succinate, arginine, and fumarate in prostate cancer cells in comparison to benign controls [CITATION]""",Human Prostate Cancer Is Characterized by an Increase in Urea Cycle Metabolites,2020
90,Organotropism: new insights into molecular mechanisms of breast cancer metastasis,2018,"""CXCR4 is the most common chemokine receptor mediating liver metastases initiation and CXCR4/CXCL12 participate in extravasation of tumor cells within the liver in a rat model [CITATION].""",CXCR4/CXCL12 Participate in Extravasation of Metastasizing Breast Cancer Cells within the Liver in a Rat Model,2012
91,Matrix Metalloproteinases: A challenging paradigm of cancer management,2019,"""The IKKε requires Protein kinase C alpha (PKCα) activity to induce the aberrant expression of MMP-3 associated with Akt and MEK signaling which eventually promotes lung cancer metastasis [CITATION]""",The inhibitor of kappa B kinase-epsilon regulates MMP-3 expression levels and can promote lung metastasis,2014
92,Machine learning-based identification of biomarkers and drugs in immunologically cold and hot pancreatic adenocarcinomas,2024,"""hsa-mir-139 has been identified as a tumor suppressor in several cancers, including acute myeloid leukemia, liver cancer, and lung cancer [CITATION]""","MicroRNA-139, an Emerging Gate-Keeper in Various Types of Cancer",2022
93,Mitochondrial DNA mutations in ageing and cancer,2022,"Within ovarian carcinomas, mutations within the 16S and 12S rRNA genes, the D-loop and the MT-CYB gene were most frequent ",High Incidence of Somatic Mitochondrial DNA Mutations in Human Ovarian Carcinomas,2001
94,Modulation and function of Pumilio proteins in cancer,2022,"""PUM1 mRNA was significantly higher in prostate carcinoma than in benign tissues [25]. PUM1 downregulation in prostate cancer cells decreased proliferation, induced apoptosis, and repressed prostate tumorigenesis in vivo [CITATION]""",PUM1 represses CDKN1B translation and contributes to prostate cancer progression,2021
95,Targeting HMGB1: An available Therapeutic Strategy for Breast Cancer Therapy,2022,"""Hematological and neurological expressed 1-like (HN1L) protein can interact with HSPA9 to upregulate HMGB1 expression and play a key role in promoting breast cancer cell invasion and metastasis [CITATION]""",HN1L promotes migration and invasion of breast cancer by up-regulating the expression of HMGB1,2021
96,Integrated functions of membrane-type 1 matrix metalloproteinase in regulating cancer malignancy: Beyond a proteinase,2017,"""Mint3 is ubiquitously expressed, although some cancer cells express the protein at relatively higher levels [CITATION].""",NECAB3 Promotes Activation of Hypoxia-inducible factor-1 during Normoxia and Enhances Tumourigenicity of Cancer Cells,2016
97,Targeting SLC7A11 with sorafenib sensitizes stereotactic body radiotherapy in colorectal cancer liver metastasis,2025,"""Study indicated that NRF2 is a critical transcription factor for SLC7A11 [CITATION]. NRF2 is a transcription factor that maintains cellular oxidation balance by regulating stress responses.""",The KEAP1-NRF2 System and Esophageal Cancer,2022
98,Green tea catechins: a fresh flavor to anticancer therapy,2013,"""Celecoxib, a selective cyclooxygenase 2 inhibitor, is known to have anti-inflammatory activity and to induce apoptosis in various types of cancer cells [CITATION]""",GADD153 mediates celecoxib-induced apoptosis in cervical cancer cells,2007
99,The complexity of the Nrf2 pathway: beyond the antioxidant response,2015,"""transcription of Nrf2 is suppressed in prostate tumours of TRAMP mice and tumourigenic TRAMP-C1 cells due to the hypermethylation of select CpGs in the promoter of Nrf2 [CITATION]""",Nrf2 Expression Is Regulated by Epigenetic Mechanisms in Prostate Cancer of TRAMP Mice,2010
100,High aggressiveness of papillary thyroid cancer: from clinical evidence to regulatory cellular networks,2024,"""NR4A1 directly binds to the promoter region of LEF1, resulting in crosstalk between histone acetylation and DNA demethylation. This interaction leads to the transcriptional upregulation of LEF1 expression, subsequently facilitating the expression of downstream growth-related genes in PTC [CITATION]""",NR4A1 promotes LEF1 expression in the pathogenesis of papillary thyroid cancer,2022
101,Antitumor activity of curcumin by modulation of apoptosis and autophagy in human lung cancer A549 cells through inhibiting PI3K/Akt/mTOR pathway,2018,"""the promotion of lung cancer cell autophagy activity induced by curcumin even inducing autophagic death is a potential tumor treatment [CITATION]""",Curcumin induced autophagy anticancer effects on human lung adenocarcinoma cell line A549,2017
102,"Pancreatic Cancer: Yesterday, Today and Tomorrow",2016,"""Some possibilities for targeting pancreatic cancer stem cells include disrupting signaling pathways that are active in cancer stem cells, such as Sonic hedgehog, Notch and mTOR, or using immunotherapy [CITATION].""",Concise Review: Stem Cells in Pancreatic Cancer: From Concept to Translation,2015
103,Cancer Stem Cells in Soft-Tissue Sarcomas,2020,"""It was reported that the TKI dasatinib, but not EGFR-directed inhibition, decreased cell viability of sarcoma initiating cells in combination with doxorubicin [CITATION]""",Dasatinib and Doxorubicin Treatment of Sarcoma Initiating Cells: A Possible New Treatment Strategy,2016
